,Population Density (Per Sq. Mile),Area (Land),% Total Population: 75 to 84 Years,% Total Population: 85 Years and Over,Households:,Median Household Income (In 2019 Inflation Adjusted Dollars),Per Capita Income (In 2019 Inflation Adjusted Dollars),Renter-Occupied Housing Units,Owner-Occupied Housing Units,Renter-Occupied Housing Units with Cash Rent,Population for Whom Poverty Status Is Determined:,NDVI,NDBI,ESA_LC_MODE,Impervious_Surface,Tree_Coverage,RD_LST_0723,RD_LST_0808,RD_LST_Composite,RD_MODIS_0721,RD_MODIS_0724,am_hi,am_t,af_hi,af_t,pm_hi,pm_t
139,5882.098,0.379116428,6.86,1.66,868,45938,25839,539,329,530,2230,0.420259476,-0.185571,10,16.80215263,42.07915497,45499.39844,46570.00391,46912.5625,15382.8125,15339.00586,68.21351624,67.41544342,87.17703247,84.72974396,83.87567139,81.07984924
140,1986.983,0.608963439,8.51,0,418,43529,26146,113,305,103,1210,0.545486212,-0.270716399,10,10.19505596,64.41753387,45023.12891,46406.10547,46448.04688,15335.44238,15372.51758,67.90133667,67.17507935,86.27011108,83.62480164,81.45130157,79.44698334
141,8021.105,0.337733997,2.07,1.44,991,31886,14626,977,14,977,2526,0.438042343,-0.150200501,10,31.6835289,45.66366196,45396.13672,46449.36719,46764.00781,15298.60254,15338.87891,69.20858002,68.38574982,86.58744049,84.42380524,83.15932465,80.92831421
142,1654.969,0.975244673,3.41,1.86,576,24773,14698,486,90,486,1406,0.451760352,-0.155399874,10,21.87783623,50.02638245,45641.00781,46356.40625,46657.55469,15332.98535,15357.54883,68.44034576,67.70132446,87.05574036,84.55662537,83.37001801,80.94539642
143,4145.673,0.354586585,12.86,0.75,504,47092,23735,131,373,124,1470,0.559852839,-0.184603781,10,8.792125702,49.66239548,45613.17578,46060.9375,46400.58203,15239.62402,15236.98145,67.84179688,67.13739014,87.13895416,84.24224091,83.12174988,80.77198029
144,5859.921,0.391131542,4.49,0.44,665,36250,13048,389,276,368,2292,0.561175168,-0.232099116,10,10.95183182,56.65160751,45903.71094,46008.375,46566.6875,15236.91797,15288.94238,67.71208954,67.01400757,86.33662415,83.79436493,82.45738983,80.20620728
145,1762.68,0.525336411,6.91,0,306,40500,27849,114,192,114,926,0.603109062,-0.225257769,10,9.845562935,62.06686401,45503.07422,46068.90625,46445.60156,15229.59473,15257.38477,67.47380829,66.79557037,86.4282608,83.66544342,81.7844696,79.75648499
146,5514.379,0.225410697,1.77,0,373,30327,13512,287,86,287,1220,0.511413455,-0.189881384,10,17.15606308,51.51213837,45492.03125,46284.53906,46980.71484,15405.80469,15365.29492,68.56768036,67.85916138,86.48364258,84.24858093,82.98716736,80.66964722
147,3833.856,1.376681668,4.09,0.51,1642,54792,21150,587,1055,587,5278,0.540399909,-0.19802855,10,21.32917404,66.68096924,45841.90234,46305.48828,46401.13672,15250.25,15272.85742,68.07198334,67.47259521,86.48271179,83.91970825,82.28613281,80.06599426
148,3667.917,0.374054243,1.9,4.37,600,40278,21816,179,421,179,1368,0.564000487,-0.232865378,10,11.01560688,53.99262238,45823.07422,46526.33203,46600.8125,15262.55273,15251.91602,68.19864655,67.5191803,85.66122437,83.55776978,82.61669159,80.36183929
149,2882.104,0.512819751,6.63,0,482,28587,13030,328,154,328,1477,0.519945741,-0.228979304,10,23.58497047,58.70597458,45759.63672,46340.48047,46583.96875,15267.07227,15284.16211,68.41882324,67.70886993,86.14733124,83.71086884,82.58594513,80.35825348
150,1685.354,0.659801899,10.16,8.27,407,34654,21198,215,192,215,1112,0.464341879,-0.157779589,10,26.25998497,51.13628006,45800.25,46451.07813,46589.60156,15282.1543,15311.74023,68.28919983,67.58711243,86.55831909,84.16864777,83.25757599,80.84747314
151,3438.987,1.372497093,1.38,0.68,1554,46336,19507,773,781,744,4658,0.502806127,-0.195490241,10,31.27657127,59.27206039,45837.54688,46471.93359,46783.82813,15239.35645,15291.6416,68.42233276,67.7259903,86.5139389,84.20270538,82.756073,80.48782349
152,7616.852,0.29408476,1.7,1.29,584,54345,16249,300,284,293,2228,0.528545439,-0.199219763,10,17.42046738,50.76212692,46013.34375,46596.62891,46614.54297,15244.73438,15276.50293,68.51094055,67.82235718,86.38349152,84.19765472,83.20429993,80.78783417
153,2417.069,0.613553036,1.42,0,785,63977,43119,334,451,334,1483,0.451742381,-0.337156683,10,27.95820618,72.17118835,45299.72656,45789.19531,46037.71484,15207.0127,15282.94434,68.08725739,67.45480347,85.2629776,83.25905609,82.55748749,80.37474823
154,8289.697,0.292290543,0,0,1071,38018,23570,1071,0,1071,2285,0.53729713,-0.256702036,10,34.26950455,63.56138229,45826.90234,46227.46094,46788.59375,15204.23535,15207.35547,68.08337402,67.49743652,85.92495728,83.60411835,82.26049042,80.16867828
155,3931.124,0.644090629,0,0,1055,36037,18158,942,113,930,2532,0.507954717,-0.267532468,10,25.51018333,62.43716049,45412.74219,46208.44922,46377.53125,15198.54004,15242.77734,68.34621429,67.69545746,86.0315094,83.72812653,82.49747467,80.33708191
